category_id;major_category_name;description;Changes (to new major_category)
1;Other;Acanthastrea;Stony corals
2;Other;Acanthastrea brevis;Massive corals
3;Other;Acanthastrea echinata;Massive corals
4;Other;Acanthastrea Hemispherical;Massive corals
5;Other;Acanthastrea hemprichii;Massive corals
6;Other;Acanthastrea hillae;Massive corals
7;Stony corals;Acanthastrea spp.;Stony corals
8;Macroalgae;Acrocarpia paniculata;Other fucoids
9;Other;Acropora;Stony corals
10;Other;Acropora abrolhosensis;Branching Acropora
11;Other;Acropora abrotanoides;Tabular Acropora corals
12;Other;Acropora aculeus;Corymbose Acropora corals
13;Other;Acropora aculeus (dead);Dead coral
14;Other;Acropora anthocercis;Corymbose Acropora corals
15;Other;Acropora Arborescent table;Tabular Acropora corals
16;Other;Acropora austera;Branching Acropora
17;Other;Acropora austera (dead);Dead coral
18;Other;Acropora Bottlebrush;Bottlebrush Acropora corals
19;Other;Acropora Bushy arborescent;Branching Acropora
20;Other;Acropora Bushy arborescent (bleached);Branching Acropora_Bleached
21;Other;Acropora bushyensis;Corymbose Acropora corals
22;Other;Acropora carduus;Bottlebrush Acropora corals
23;Other;Acropora caroliniana;Corymbose Acropora corals
24;Other;Acropora cerealis;Corymbose Acropora corals
25;Stony corals;Acropora clathrata;Tabular Acropora corals
26;Other;Acropora Compact table;Tabular Acropora corals
27;Other;Acropora Compact table (bleached);Tabular Acropora corals_Bleached
28;Other;Acropora Compact table (dead);Dead coral
29;Other;Acropora Corymbose;Corymbose Acropora corals
30;Other;Acropora Corymbose (bleached);Corymbose Acropora corals_Bleached
31;Other;Acropora Corymbose (dead);Dead coral
32;Other;Acropora Corymbose Flagged For Review;Corymbose Acropora corals
33;Other;Acropora cytherea;Tabular Acropora corals
34;Other;Acropora cytherea (bleached);Tabular Acropora corals_Bleached
35;Other;Acropora cytherea (dead);Dead coral
36;Other;Acropora (dead);Dead coral
37;Other;Acropora Digitate;Digitate corals
38;Other;Acropora digitifera;Digitate corals
39;Other;Acropora divaricata;Corymbose Acropora corals
40;Other;Acropora donei;Tabular Acropora corals
41;Other;Acropora efflorescens;Foliose/Plate corals
42;Other;Acropora elseyi;Bottlebrush Acropora corals
43;Other;Acropora Encrusting;Encrusting corals
44;Other;Acropora Flagged For Review;Stony corals
45;Other;Acropora Flagged For Review,(dead);Dead coral
46;Other;Acropora florida;Tabular Acropora corals
47;Other;Acropora florida (dead);Dead coral
48;Other;Acropora gemmifera;Digitate corals
49;Stony corals;Acropora glauca;Corymbose Acropora corals
