IMAS,,,NRMN,,,
MB_SPECIESID,SPECIES_NAME,COMMON_NAME,OBSERVABLE ITEM ID,OBSERVABLE_ITEM_NAME,COMMON_NAME,MAPPED ID
,,,1,Debris - Plastic,Any plastic debris,NULL
,,,2,Debris - Metal,Any metal debris,NULL
,,,3,Debris - Glass,Any glass debris,NULL
,,,4,Debris - Zero,No Debris found,NULL
,,,5,Debris - Fishing gear,"Fishing rods, reels, lines, sinkers, hooks, lures, nets(note:two attached items are counted as one)",NULL
,,,6,Debris - Cloth,Any cloth debris,NULL
,,,7,Debris - Other,"Any debris OTHER THAN fishing gear, made of plastic, cloth, metal, glass or timber",NULL
,,,8,Debris - Fishing gear (net),NULL,NULL
,,,9,"Debris - Fishing gear (hook, line)",NULL,NULL
,,,10,Debris - Wood,Any timber debris > 10cm,NULL
1,Heterodontus portusjacksoni,Port Jackson shark,11,Heterodontus portusjacksoni,Port Jackson shark,1
2,Parascyllium ferrugineum,Rusty catshark,12,Parascyllium ferrugineum,Rusty catshark,2
3,Cephaloscyllium laticeps,Draughtboard shark,13,Cephaloscyllium laticeps,Draughtboard shark,3
4,Urolophus cruciatus,Banded stingaree,14,Urolophus cruciatus,Banded stingaree,4
5,Myliobatis australis,Eagle ray,15,Myliobatis australis,Eagle ray,5
6,Conger verreauxi,Conger eel,16,Conger verreauxi,Conger eel,6
7,Latropiscis purpurissatus,Sergeant baker,17,Latropiscis purpurissatus,Sergeant baker,7
8,Lotella rhacina,Beardie,18,Lotella rhacina,Beardie,8
9,Pseudophycis bachus,Red cod,19,Pseudophycis bachus,Red cod,9
10,Pseudophycis barbata,Bearded cod,20,Pseudophycis barbata,Bearded cod,10
11,Genypterus tigerinus,Rock ling,21,Genypterus tigerinus,Rock ling,11
12,Hyporhamphus melanochir,Southern sea garfish,22,Hyporhamphus melanochir,Southern sea garfish,12
13,Atherinason hepsetoides,Deepwater hardyhead,23,Atherinason hepsetoides,Deepwater hardyhead,13
14,Optivus elongatus,Slender roughy,24,Optivus elongatus,Slender roughy,14
15,Paratrachichthys trailli,Sandpaperfish,25,Paratrachichthys trailli,Sandpaperfish,15
16,Cyttus australis,Silver dory,26,Cyttus australis,Silver dory,16
17,Hippocampus abdominalis,Big-bellied seahorse,27,Hippocampus abdominalis,Big-bellied seahorse,17
18,Phyllopteryx taeniolatus,Weedy seadragon,28,Phyllopteryx taeniolatus,Weedy seadragon,18
19,Helicolenus percoides,Red gurnard perch,29,Helicolenus percoides,Red gurnard perch,19
20,Neosebastes scorpaenoides,Common gurnard perch,30,Neosebastes scorpaenoides,Common gurnard perch,20
21,Scorpaena papillosa,Southern rock cod,31,Scorpaena papillosa,Southern rock cod,21
22,Lepidotrigla papilio,Spiny gurnard,32,Lepidotrigla papilio,Spiny gurnard,22
23,Gnathanacanthus goetzii,Red velvetfish,33,Gnathanacanthus goetzii,Red velvetfish,23
24,Caesioperca lepidoptera,Butterfly perch,34,Caesioperca lepidoptera,Butterfly perch,24
25,Caesioperca rasor,Barber perch,35,Caesioperca rasor,Barber perch,25
26,Hypoplectrodes maccullochi,Half-banded seaperch,36,Hypoplectrodes maccullochi,Half-banded seaperch,26
27,Trachinops caudimaculatus,Hulafish,37,Trachinops caudimaculatus,Hulafish,27
28,Dinolestes lewini,Long-fin pike,38,Dinolestes lewini,Long-fin pike,28
29,Vincentia conspersa,Southern cardinalfish,39,Vincentia conspersa,Southern cardinalfish,29
30,Pseudocaranx dentex,White trevally,40,Pseudocaranx dentex,White trevally,30
31,Trachurus declivis,Jack mackerel,41,Trachurus declivis,Jack mackerel,31
32,Arripis spp.,Australian salmon,42,Arripis spp.,Australian salmon,32
33,Parequula melbournensis,Silverbelly,43,Parequula melbournensis,Silverbelly,33
34,Upeneichthys vlamingii,Southern goatfish,44,Upeneichthys vlamingii,Southern goatfish,34
35,Pempheris multiradiata,Common bullseye,45,Pempheris multiradiata,Common bullseye,35
36,Girella elevata,Rock blackfish,46,Girella elevata,Rock blackfish,36
37,Girella tricuspidata,Luderick,47,Girella tricuspidata,Luderick,37
38,Kyphosus sydneyanus,Silver drummer,48,Kyphosus sydneyanus,Silver drummer,38
39,Girella zebra,Zebra fish,49,Girella zebra,Zebra fish,39
40,Scorpis aequipinnis,Sea sweep,50,Scorpis aequipinnis,Sea sweep,40
41,Scorpis lineolata,Silver sweep,51,Scorpis lineolata,Silver sweep,41
42,Atypichthys strigatus,Mado sweep,52,Atypichthys strigatus,Mado sweep,42
43,Enoplosus armatus,Old wife,53,Enoplosus armatus,Old wife,43
44,Pentaceropsis recurvirostris,Long-snouted boarfish,54,Pentaceropsis recurvirostris,Long-snouted boarfish,44
45,Chromis hypsilepis,One-spot puller,55,Chromis hypsilepis,One-spot puller,45
46,Parma microlepis,White-ear,56,Parma microlepis,White-ear,46
47,Parma victoriae,Victorian scalyfin,57,Parma victoriae,Victorian scalyfin,47
48,Aplodactylus arctidens,Marblefish,58,Aplodactylus arctidens,Marblefish,48
49,Cheilodactylus nigripes,Magpie perch,59,Cheilodactylus nigripes,Magpie perch,49
50,Cheilodactylus spectabilis,Banded morwong,60,Cheilodactylus spectabilis,Banded morwong,50
51,Dactylophora nigricans,Dusky morwong,61,Dactylophora nigricans,Dusky morwong,51
52,Nemadactylus macropterus,Jackass morwong,62,Nemadactylus macropterus,Jackass morwong,52
53,Latridopsis forsteri,Bastard trumpeter,63,Latridopsis forsteri,Bastard trumpeter,53
54,Mendosoma allporti,Real bastard trumpeter,64,Mendosoma allporti,Real bastard trumpeter,54
55,Sphyraena novaehollandiae,Snook,65,Sphyraena novaehollandiae,Snook,55
56,Dotalabrus aurantiacus,Castelnaus wrasse,66,Dotalabrus aurantiacus,Castelnaus wrasse,56
57,Pictilabrus laticlavius,Senator wrasse,67,Pictilabrus laticlavius,Senator wrasse,57
58,Notolabrus fucicola,Purple wrasse,68,Notolabrus fucicola,Purple wrasse,58
59,Pseudolabrus psittaculus,Rosy wrasse,69,Pseudolabrus psittaculus,Rosy wrasse,59
60,Notolabrus tetricus,Blue-throat wrasse,70,Notolabrus tetricus,Blue-throat wrasse,60
61,Odax acroptilus,Rainbow cale,71,Odax acroptilus,Rainbow cale,61
62,Siphonognathus attenuatus,Short-nose weed-whiting,72,Siphonognathus attenuatus,Short-nose weed-whiting,62
63,Neoodax balteatus,Little rock whiting,73,Neoodax balteatus,Little rock whiting,63
64,Siphonognathus beddomei,Pencil weed whiting,74,Siphonognathus beddomei,Pencil weed whiting,64
65,Haletta semifasciata,Blue rock whiting,75,Haletta semifasciata,Blue rock whiting,65
66,Odax cyanomelas,Herring cale,76,Odax cyanomelas,Herring cale,66
67,Kathetostoma laeve,Common stargazer,77,Kathetostoma laeve,Common stargazer,67
68,Bovichtus angustifrons,Dragonet,78,Bovichtus angustifrons,Dragonet,68
69,Forsterygion varium,Many-rayed threefin,79,Forsterygion varium,Many-rayed threefin,69
70,Norfolkia clarkei,Common threefin,80,Norfolkia clarkei,Common threefin,70
71,Cristiceps australis,Crested weedfish,81,Cristiceps australis,Crested weedfish,71
72,Heteroclinus tristis,Forster's weedfish,82,Heteroclinus tristis,Forster's weedfish,72
73,Heteroclinus johnstoni,Johnstons weedfish,83,Heteroclinus johnstoni,Johnstons weedfish,73
74,Heteroclinus perspicillatus,Common weedfish,84,Heteroclinus perspicillatus,Common weedfish,74
75,Parablennius tasmanianus,Tasmanian blenny,85,Parablennius tasmanianus,Tasmanian blenny,75
76,Callogobius mucosus,Sculptured goby,86,Callogobius mucosus,Sculptured goby,76
77,Nesogobius spp.,Goby,87,Nesogobius spp.,Goby,77
78,Seriolella brama,Snotty-nose trevally,88,Seriolella brama,Snotty-nose trevally,78
79,Aspasmogaster tasmaniensis,Tasmanian clingfish,89,Aspasmogaster tasmaniensis,Tasmanian clingfish,79
80,Creocele cardinalis,Broad clingfish,90,Creocele cardinalis,Broad clingfish,80
81,Cochleoceps sp.,Clingfish,91,Alabes dorsalis,Common shore eel,82
82,Alabes dorsalis,Common shore eel,92,Eocallionymus papilio,Painted stinkfish,83
83,Eocallionymus papilio,Painted stinkfish,93,Rhombosolea tapirina,Greenback flounder,84
84,Rhombosolea tapirina,Greenback flounder,94,Acanthaluteres spilomelanurus,Bridled leatherjacket,85
85,Acanthaluteres spilomelanurus,Bridled leatherjacket,95,Brachaluteres jacksonianus,Pygmy leatherjacket,86
86,Brachaluteres jacksonianus,Pygmy leatherjacket,96,Eubalichthys gunnii,Gunn's leatherjacket,87
87,Eubalichthys gunnii,Gunn's leatherjacket,97,Meuschenia australis,Brown-striped leatherjacket,88
