"survey_id","survey_method_id"
912347852,70
912346313,168
3000166,323
912347492,409
912349847,477
912351918,895
912351963,968
912351423,987
3002585,1006
912352106,1014
912351403,1314
3002527,2057
3000216,2169
912352135,2176
912352128,2595
912351896,2618
912341951,2640
912343952,2717
3000060,2827
912351311,2959
912351885,2970
912343540,2984
912352114,3068
912347851,3220
912345042,3399
912352108,3501
912343551,3661
3000010,3930
912343530,3975
912352081,4037
912351941,4238
912351999,4316
3002578,4393
912351921,4510
3000233,4780
3000114,4994
3000026,5132
912346899,5337
912352090,5479
912350231,5690
912343520,6096
912352032,6272
3000041,6303
912351969,6485
912343544,6992
912352041,7501
912343526,7772
912351858,7835
912352091,7840
912351848,7928
912343833,8010
912351869,8381
912343558,8609
912344460,8684
3000049,8799
912345043,9204
912351929,9449
912351959,9725
912352031,9774
912351312,9911
912345411,9935
912351946,10327
912352026,10603
3002556,10653
3002575,10699
912343531,11014
3000061,11063
912349701,11199
912350190,11264
912351314,11329
3000234,11437
912351887,11627
912351920,11690
912341927,12072
912345056,12154
912351428,12260
912351397,12610
3002589,12766
912351399,12818
912351915,12879
912352027,13084
912352671,13103
912351981,13214
3000242,13562
912352124,13848
912343562,13854
912346312,13861
912342964,13945
912347860,13954
912350805,14241
912350042,14374
912347866,14499
912341941,14584
912351988,14932
3002543,15001
912352116,15004
3002579,15058
7002859,15130
912343550,15487
912343524,16089
912343525,16092
912352037,16481
912345680,16652
3000243,16663
912343549,16746
3000241,17384
912351889,17521
912344461,17954
3002560,18180
912351952,18224
912343536,18281
912341936,18296
912352079,18526
912352099,18660
912352634,18843
912350726,18908
3000048,19117
912351867,19358
912351426,19730
912351306,19969
3002544,19973
912343529,20491
912351955,20817
912341961,20958
912341939,20968
3000125,21389
912347861,21398
912344393,21721
912352040,21761
912351906,21999
912350194,22188
912351380,22235
912351308,22436
912351879,22692
912351982,22751
912343539,23008
912345050,23367
3000068,23475
912351951,23509
3000018,23596
3000069,23906
3000146,23960
912351370,23967
3002534,24065
3002555,24196
912347863,24377
3002925,24396
912352109,24829
912351998,24983
912345960,24994
912350197,25417
3000123,25587
912341955,25681
912352658,26695
912351931,26723
3000087,26744
912343534,26911
3002537,27107
912352656,27373
912341946,27510
912346913,27525
912352636,27717
912352122,27720
912341953,27839
912344875,28504
912346758,28624
912351402,28639
912346072,28647
912351294,29000
3000191,29086
912344552,29152
3000137,29189
3002599,29257
912346475,29823
912352036,29928
912351964,30053
912344608,30072
912341952,30712
3000035,30978
912352063,31069
912351855,31315
3000084,31334
912349603,31383
