Superseded Species,,,,Superseded_by taxonomy,,,
observable_item_id,observable_item_name,aphia_id,superseded_by,phylum,class,order,family
4193,Modelia granosa,413417,Turbo granosus,Mollusca,Gastropoda,Vetigastropoda,Turbinidae
2682,Dendrodoris denisoni,537017,Dendrodoris krusensternii,Mollusca,Gastropoda,Nudibranchia,Dendrodorididae
2697,Pseudoceros fuscopunctatus,483965,Maritigrella fuscopunctata,Platyhelminthes,Turbellaria,Polycladida,Euryleptidae
2684,Eurylepta fuscopunctatus,879091,Maritigrella fuscopunctata,Platyhelminthes,Turbellaria,Polycladida,Euryleptidae
2702,Waimatea obscura,527750,Volutomitra obscura,Mollusca,Gastropoda,Neogastropoda,Volutomitridae
4179,Haliotis lamellosa,246008,Haliotis tuberculata,Mollusca,Gastropoda,Vetigastropoda,Haliotidae
4780,Hypselodoris bilineata,139147,Felimare bilineata,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4182,Asterina pectinifera,377334,Patiria pectinifera,Echinodermata,Asteroidea,Spinulosida,Asterinidae
4117,Patiriella fimbriata,564379,Asterina fimbriata,Echinodermata,Asteroidea,Spinulosida,Asterinidae
2787,Chromodoris roboi,457498,Goniobranchus roboi,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
2783,Chromodoris collingwoodi,559728,Goniobranchus roboi,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
5048,Primovula tigris,432254,Cuspivolva tigris,Mollusca,Gastropoda,Littorinimorpha,Ovulidae
2789,Glossodoris rubroannulata,559954,Miamira flavicostata,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4876,Ceratostoma inornatum,397035,Ocenebra inornata,Mollusca,Gastropoda,Neogastropoda,Muricidae
4783,Trochus calcaratus,567739,Infundibulum calcaratum,Mollusca,Gastropoda,,Trochidae
4133,Muricanthus radix,406198,Hexaplex radix,Mollusca,Gastropoda,Neogastropoda,Muricidae
1304,Chelidonura hirundinina,420528,Chelidonura hirundinea,Mollusca,Gastropoda,Cephalaspidea,Aglajidae
4136,Strombus costatus,527813,Lobatus costatus,Mollusca,Gastropoda,Littorinimorpha,Strombidae
4148,Strombus galeatus,565386,Lobatus galeatus,Mollusca,Gastropoda,Littorinimorpha,Strombidae
825,Astrostole rudolphi,291595,Astrostole rodolphi,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
4110,Dynomene ursula,452903,Hirsutodynomene ursula,Arthropoda,Malacostraca,Decapoda,Dynomenidae
5276,Drupa ricina,212150,Drupa ricinus,Mollusca,Gastropoda,Neogastropoda,Muricidae
6777,Venerupis sp.,138647,Venerupis spp.,Mollusca,Bivalvia,Veneroida,Veneridae
4792,Euspira pallida,140536,Lunatia pallida,Mollusca,Gastropoda,Littorinimorpha,Naticidae
4758,Thais haemastoma,224350,Stramonita haemastoma,Mollusca,Gastropoda,Neogastropoda,Muricidae
2780,Ceratosoma magnificum,560048,Goniobranchus cavae,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
5272,Astraea calcar,717048,Astralium calcar,Mollusca,Gastropoda,Vetigastropoda,Turbinidae
4121,Bursa thomae,138944,Bursa rhodostoma,Mollusca,Gastropoda,Littorinimorpha,Bursidae
2782,Chromodoris cavae,209590,Ardeadoris rubroannulata,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4935,Cypraea annulus,216777,Monetaria annulus,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae
4016,Munida subrugosa,392886,Munida gregaria,Arthropoda,Malacostraca,Decapoda,Munididae
2688,Nassarius particeps,572372,Nassarius glans,Mollusca,Gastropoda,Neogastropoda,Nassariidae
4778,Chromodoris geminus,209585,Goniobranchus geminus,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4933,Latirus nodatus,211129,Benimakia nodata,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae
942,Echinostephus aciculatus,513245,Echinostrephus aciculatus,Echinodermata,Echinoidea,Echinoida,Echinometridae
2698,Pterynotus duffusi,406233,Pterochelus duffusi,Mollusca,Gastropoda,Neogastropoda,Muricidae
4099,Davidaster rubiginosa,393382,Davidaster rubiginosus,Echinodermata,Crinoidea,Comatulida,Comasteridae
765,Flat oysters,105,Unidentified oyster (flat),Mollusca,Bivalvia,NULL,NULL
5230,Muricopsis mariae,724157,Murexsul mariae,Mollusca,Gastropoda,Neogastropoda,Muricidae
2993,Thais kieneri,817480,Thais bitubercularis,Mollusca,Gastropoda,Neogastropoda,Muricidae
2786,Chromodoris reticulata,558661,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae
2779,Ceratosoma flavicostatum,571918,Goniobranchus loringi,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
3118,Raninoides serratifrons,455369,Notosceles serratifrons,Arthropoda,Malacostraca,Decapoda,Raninidae
4197,Bursa bubo,216974,Tutufa bubo,Mollusca,Gastropoda,Littorinimorpha,Bursidae
2680,Cronia contracta,817248,Ergalatax contracta,Mollusca,Gastropoda,Neogastropoda,Muricidae
4773,Comanthina nobilis,393446,Comaster nobilis,Echinodermata,Crinoidea,Comatulida,Comasteridae
4153,Tyrinna nobilis,533591,Tyrinna delicata,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4111,Latirus sanguineus,448451,Pustulatirus sanguineus,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae
4195,Asterias rubens,123776,Echinaster sepositus,Echinodermata,Asteroidea,Spinulosida,Echinasteridae
4125,Coryphella pedata,146859,Edmundsella pedata,Mollusca,Gastropoda,Nudibranchia,Flabellinidae
4114,Anthocidaris crassispina,513782,Heliocidaris crassispina,Echinodermata,Echinoidea,Echinoida,Echinometridae
4782,Strongylocentrotus nudus,396742,Mesocentrotus nudus,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae
5061,Spondylus calcifer,543661,Spondylus limbatus,Mollusca,Bivalvia,Ostreoida,Spondylidae
4141,Bursa californica,477022,Crossata ventricosa,Mollusca,Gastropoda,Littorinimorpha,Bursidae
757,Scutella laticostata,817644,Patella laticostata,Mollusca,Gastropoda,Patellogastropoda,Patellidae
2785,Chromodoris loringi,558315,Goniobranchus reticulatus,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
2797,Chromodoris bennetti,558317,Hypselodoris bennetti,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
5131,Scutus breviculus,598186,Scutus antipodes,Mollusca,Gastropoda,Archaeogastropoda,Fissurellidae
4957,Thais mancinella,207621,Mancinella alouina,Mollusca,Gastropoda,Neogastropoda,Muricidae
4958,Mancinella mancinella,1486419,Mancinella alouina,Mollusca,Gastropoda,Neogastropoda,Muricidae
2701,Thais alouina,714168,Mancinella alouina,Mollusca,Gastropoda,Neogastropoda,Muricidae
4007,Trapezia ferruginea,210183,Trapezia bidentata,Arthropoda,Malacostraca,Decapoda,Trapeziidae
4869,Cancer edwardsii,440386,Metacarcinus edwardsii,Arthropoda,Malacostraca,Decapoda,Cancridae
832,Australium tentorum,413392,Astralium tentorium,Mollusca,Gastropoda,Vetigastropoda,Turbinidae
2685,Fryeria picta,599549,Phyllidia coelestis,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae
4122,Onchidoris fusca,140638,Onchidoris bilamellata,Mollusca,Gastropoda,Nudibranchia,Onchidorididae
5217,Muricopsis octogonus,724158,Murexsul octogonus,Mollusca,Gastropoda,Neogastropoda,Muricidae
4936,Cypraea erosa,216790,Erosaria erosa,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae
4113,Glossodoris sedna,420590,Doriprismatica sedna,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4879,Penion grandis,594351,Penion mandarinus,Mollusca,Gastropoda,Neogastropoda,Buccinidae
4096,Peltodoris nobilis,594422,Montereina nobilis,Mollusca,Gastropoda,Nudibranchia,Discodorididae
4118,Prostheceraeus bellostriatus,487373,Praestheceraeus bellostriatus,Platyhelminthes,Rhabditophora,Polycladida,Euryleptidae
750,Hypselodoris infurcata,139151,Hypselodoris infucata,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4364,Hypselodoris agassizii,560431,Felimare agassizii,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4767,Temnopleurus reevesi,214668,Temnopleurus reevesii,Echinodermata,Echinoidea,Temnopleuroida,Temnopleuridae
5187,Ceratosoma sinuatum,560047,Miamira sinuata,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
2681,Cucumella mutans,241811,Neoamphicylcus mutans,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae
4116,Fryeria rueppelii,536638,Phyllidia rueppelii,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae
4100,Chromodoris sphoni,549423,Felimida sphoni,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4766,Anasterias minuta,378829,Anasterias antarctica,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
4791,Risbecia imperialis,558656,Hypselodoris imperialis,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4134,Cypraea spadicea,580675,Neobernaya spadicea,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae
4818,Chromodoris kuniei,558826,Goniobranchus kuniei,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
2788,Conus mediterraneus,429087,Goniobranchus aureopurpureus,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
1043,Morula noduliferus,724166,Morula nodulifera,Mollusca,Gastropoda,Neogastropoda,Muricidae
5274,Coralliophila pyriformis,549869,Coralliophila radula,Mollusca,Gastropoda,Neogastropoda,Muricidae
4014,Hypselodoris festiva,558361,Mexichromis festiva,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
6763,Paguristes sp.,106844,Paguristes spp.,Arthropoda,Malacostraca,Decapoda,Diogenidae
4788,Pollia viverratoides,138929,Gemophos viverratoides,Mollusca,Gastropoda,Neogastropoda,Buccinidae
2784,Chromodoris hunterae,558307,Goniobranchus hunterae,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4890,Fusitriton cancellatus,396006,Fusitriton brasiliensis,Mollusca,Gastropoda,Littorinimorpha,Ranellidae
1192,Turbo pulchra,579263,Turbo kenwilliamsi,Mollusca,Gastropoda,Vetigastropoda,Turbinellidae
5043,Chlamys varia,140696,Mimachlamys varia,Mollusca,Bivalvia,Ostreoida,Pectinidae
5195,Spurilla australis,534047,Baeolidia australis,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae
4143,Muricopsis zeteki,408754,Murexsul zeteki,Mollusca,Gastropoda,Neogastropoda,Muricidae
4124,Tritonia hombergi,141733,Tritonia hombergii,Mollusca,Gastropoda,Nudibranchia,Tritoniidae
4955,Phyllidia pustulosa,536575,Phyllidiella pustulosa,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae
4198,Echinometra oblonga,213381,Echinometra mathaei,Echinodermata,Echinoidea,Echinoida,Echinometridae
4140,Phalium granulatum,139026,Semicassis granulata,Mollusca,Gastropoda,Littorinimorpha,Cassidae
4106,Archidoris pseudoargus,138763,Doris pseudoargus,Mollusca,Gastropoda,Nudibranchia,Dorididae
4135,Mithrax nodosus,454039,Mithraculus nodosus,Arthropoda,Malacostraca,Decapoda,Majidae
4369,Muricanthus callidinus,406199,Hexaplex ambiguus,Mollusca,Gastropoda,Neogastropoda,Muricidae
2781,Chromodoris aureopurpurea,559915,Miamira magnifica,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4188,Ctenoides scaber,420747,Ctenoides scabra,Mollusca,Bivalvia,Limoida,Limidae
4189,Lima scabra,582489,Ctenoides scabra,Mollusca,Bivalvia,Limoida,Limidae
4149,Pseudosquilla adiastalta,409754,Pseudosquillisma adiastalta,Arthropoda,Malacostraca,Stomatopoda,Pseudosquillidae
4785,Patiria granifera,213391,Callopatiria granifera,Echinodermata,Asteroidea,Spinulosida,Asterinidae
2994,Chicoreus rubiginosus,817238,Chicoreus torrefactus,Mollusca,Gastropoda,Neogastropoda,Muricidae
4156,Pinctada radiata,140890,Pinctada imbricata,Mollusca,Bivalvia,Pterioida,Pteriidae
5133,Trochus viridulus,607160,Tegula viridula,Mollusca,Gastropoda,NULL,Turbinidae
4191,Chromodoris macfarlandi,549419,Felimida macfarlandi,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
2996,Latirus turritus,211125,Turrilatirus turritus,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae
2677,Amalda monilifera,447955,Gracilispira monilifera,Mollusca,Gastropoda,Neogastropoda,Olividae
2696,Prothalotia lehmani,573217,Prothalotia lehmanni,Mollusca,Gastropoda,Archaeogastropoda,Trochidae
5123,Archidoris wellingtonensis,533954,Doris wellingtonensis,Mollusca,Gastropoda,Nudibranchia,Dorididae
4115,Lytechinus anamesus,240778,Lytechinus pictus,Echinodermata,Echinoidea,Temnopleuroida,Toxopneustidae
4123,Hypselodoris picta picta,531104,Felimare picta,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4770,Hypselodoris picta webbi,561862,Felimare picta,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4769,Hypselodoris picta,139154,Felimare picta,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
5269,Terebra felina,208070,Oxymeris felina,Mollusca,Gastropoda,Neogastropoda,Terebridae
4200,Mitra cornicula,590519,Vexillum ebenus,Mollusca,Gastropoda,Neogastropoda,Costellariidae
4798,Boreotrophon beringi,398892,Boreotrophon cepula,Mollusca,Gastropoda,Neogastropoda,Muricidae
2676,Amalda lineata,447952,Gracilispira lineata,Mollusca,Gastropoda,Neogastropoda,Olividae
4147,Hypselodoris gasconi,139150,Felimare gasconi,Mollusca,Gastropoda,Nudibranchia,Chromodorididae
4789,Doris fontainei,599497,Doris fontainii,Mollusca,Gastropoda,Nudibranchia,Dorididae
2995,Thais armigera,207631,Reishia armigera,Mollusca,Gastropoda,Neogastropoda,Muricidae
4152,Strongylocentrotus franciscanus,240762,Mesocentrotus franciscanus,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae
4011,Ostrea fisheri,542093,Hyotissa hyotis,Mollusca,Bivalvia,Ostreoida,Gryphaeidae
5085,Cypraea caurica,216822,Erronea caurica,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae
1087,Patiriella oriens,382650,Meridiastra oriens,Echinodermata,Asteroidea,Spinulosida,Asterinidae
4109,Luidia bellonae,368109,Luidia magellanica,Echinodermata,Asteroidea,Platyasterida,Luidiidae
2687,Linckia guildingii,178188,Linckia guildingi,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae
4837,Phalium pyrum,758157,Semicassis pyrum,Mollusca,Gastropoda,Littorinimorpha,Cassidae
5129,Turbo smaragdus,534223,Lunella smaragdus,Mollusca,Gastropoda,Vetigastropoda,Turbinidae
5169,Natator depressa,344093,Natator depressus,Chordata,Reptilia,Testudines,Cheloniidae
7715,Encrusting algae,NULL,Unidentified algae (encrusting),Algae,NULL,NULL,NULL
6570,Bare rock (non-barrens),NULL,Bare rock,Substrate,NULL,NULL,NULL
6615,Bare rock (barrens),NULL,Barrens,Substrate,NULL,NULL,NULL
4747,Abudefduf coelestinus,212884,Abudefduf sexfasciatus,Chordata,Actinopterygii,Perciformes,Pomacentridae
6771,Trypterigiid sp.,125572,Tripterygiidae spp.,Chordata,Actinopterygii,Perciformes,Tripterygiidae
6770,Tryperygiid sp.,125572,Tripterygiidae spp.,Chordata,Actinopterygii,Perciformes,Tripterygiidae
4112,Xyrichthys novacula,402427,Xyrichtys novacula,Chordata,Actinopterygii,Perciformes,Labridae
4768,Zebrasoma desjardini,219682,Zebrasoma desjardinii,Chordata,Actinopterygii,Perciformes,Acanthuridae
5702,Zebrasoma veliferum,219684,Zebrasoma velifer,Chordata,Actinopterygii,Perciformes,Acanthuridae
4108,Phrynorhombus regius,127148,Zeugopterus regius,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae
4765,Acanthostracion polygonia,403454,Acanthostracion polygonius,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae
4104,Lactophrys quadricornis,308690,Acanthostracion quadricornis,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae
3014,Acanthurus nigricaudus,403091,Acanthurus nigricauda,Chordata,Actinopterygii,Perciformes,Acanthuridae
4755,Aetheloperca rogaa,401261,Aethaloperca rogaa,Chordata,Actinopterygii,Perciformes,Serranidae
5122,Allomycterus jaculiferus,343710,Allomycterus pilatus,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae
4775,Amblyeleotris japonicus,312915,Amblyeleotris japonica,Chordata,Actinopterygii,Perciformes,Gobiidae
5703,Antennarius nummifer,126530,Antennatus nummifer,Chordata,Actinopterygii,Lophiiformes,Antennariidae
4797,Stichopus japonicus,530294,Apostichopus japonicus,Echinodermata,Holothuroidea,Aspidochirotida,Stichopodidae
1251,Arothon nigropunctatus,219921,Arothron nigropunctatus,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae
4938,Asterropteryx striatus,310747,Asterropteryx striata,Chordata,Actinopterygii,Perciformes,Gobiidae
837,Bodianus perdito,218934,Bodianus perditio,Chordata,Actinopterygii,Perciformes,Labridae
838,Bohadshia species,204900,Bohadschia spp.,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae
3135,Pterocaesio lunaris,312904,Caesio lunaris,Chordata,Actinopterygii,Perciformes,Caesionidae
4025,Caesio lunares,401772,Caesio lunaris,Chordata,Actinopterygii,Perciformes,Caesionidae
4761,Caesio xanthonotus,312108,Caesio xanthonota,Chordata,Actinopterygii,Perciformes,Caesionidae
4343,Ballia scoparia,659986,Camontagnea oxyclada,Rhodophyta,Florideophyceae,Palmariales,Rhodothamniellaceae
4772,Cantherines macrocerus,403431,Cantherhines macrocerus,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae
3016,Canthigaster solandri,219945,Canthigaster papua,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae
4756,Caranx bajad,302311,Carangoides bajad,Chordata,Actinopterygii,Perciformes,Carangidae
4757,Carangoides crysos,309276,Caranx crysos,Chordata,Actinopterygii,Perciformes,Carangidae
4810,Symphodus trutta,1022158,Centrolabrus trutta,Chordata,Actinopterygii,Perciformes,Labridae
3004,Centropyge bispinosus,211779,Centropyge bispinosa,Chordata,Actinopterygii,Perciformes,Pomacanthidae
2678,Centropyge flavissimus,402160,Centropyge flavissima,Chordata,Actinopterygii,Perciformes,Pomacanthidae
3005,Centropyge loriculus,402161,Centropyge loricula,Chordata,Actinopterygii,Perciformes,Pomacanthidae
4026,Centropyge multispinus,402163,Centropyge multispinis,Chordata,Actinopterygii,Perciformes,Pomacanthidae
4762,Cephalopholis cruentatus,401279,Cephalopholis cruentata,Chordata,Actinopterygii,Perciformes,Serranidae
3132,Epinephelus formosa,218190,Cephalopholis formosa,Chordata,Actinopterygii,Perciformes,Serranidae
5308,Epinephelus leopardus,304736,Cephalopholis leopardus,Chordata,Actinopterygii,Perciformes,Serranidae
3129,Cephalopholis nigripinnis,313075,Cephalopholis urodeta,Chordata,Actinopterygii,Perciformes,Serranidae
1256,Chaaetodon rafflesi,273357,Chaetodon rafflesii,Chordata,Actinopterygii,Perciformes,Chaetodontidae
4779,Chaetodon zanzibariensis,218727,Chaetodon zanzibarensis,Chordata,Actinopterygii,Perciformes,Chaetodontidae
4216,Cheilinus quinquecinctus,713525,Cheilinus fasciatus,Chordata,Actinopterygii,Perciformes,Labridae
4017,Chelinus undulatus,402393,Cheilinus undulatus,Chordata,Actinopterygii,Perciformes,Labridae
4787,Cheilodipterus caninus,209376,Cheilodipterus arabicus,Chordata,Actinopterygii,Perciformes,Apogonidae
3008,Scarus bleekeri,308905,Chlorurus bleekeri,Chordata,Actinopterygii,Perciformes,Scaridae
4759,Scarus gibbus,219100,Chlorurus gibbus,Chordata,Actinopterygii,Perciformes,Scaridae
4018,Scarus strongylocephalus,309006,Chlorurus strongylocephalus,Chordata,Actinopterygii,Perciformes,Scaridae
2679,Cromileptes altivelis,218193,Chromileptes altivelis,Chordata,Actinopterygii,Perciformes,Serranidae
4102,Chromis notatus,304188,Chromis notata,Chordata,Actinopterygii,Perciformes,Pomacentridae
4013,Chromis scotochilopterus,304197,Chromis scotochiloptera,Chordata,Actinopterygii,Perciformes,Pomacentridae
3003,Sparus aurata,151523,Chrysophrys auratus,Chordata,Actinopterygii,Perciformes,Sparidae
4748,Cirrhilabrus temmincki,402401,Cirrhilabrus temminckii,Chordata,Actinopterygii,Perciformes,Labridae
2997,Corythoichthys flavofasciatus,217992,Corythoichthys conspicillatus,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae
3015,Ctenochaetus strigosus,219658,Ctenochaetus cyanocheilus,Chordata,Actinopterygii,Perciformes,Acanthuridae
4184,Gobionellus saepepallens,309555,Ctenogobius saepepallens,Chordata,Actinopterygii,Perciformes,Gobiidae
4795,Cucumaria japonica,241808,Cucumaria frondosa japonica,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae
2683,Dipturus lemprieri,398297,Dentiraja lemprieri,Chordata,Elasmobranchii,Rajiformes,Rajidae
4030,Gobiosoma oceanops,309585,Elacatinus oceanops,Chordata,Actinopterygii,Perciformes,Gobiidae
4101,Elacatinus punticulatus,402825,Elacatinus puncticulatus,Chordata,Actinopterygii,Perciformes,Gobiidae
